  0.619401  0.629035  0.664687  0.645385  0.719255  0.600088  0.674600  0.657975  0.681344  0.640927  0.641646  0.567160
  0.624426  0.634902  0.633869  0.616235  0.713294  0.628794  0.696392  0.634938  0.682243  0.655071  0.660823  0.587076
  0.635263  0.639208  0.640580  0.620717  0.691903  0.641744  0.689942  0.660414  0.683373  0.646808  0.676821  0.588155
  0.637822  0.652490  0.647700  0.619676  0.703882  0.649084  0.681845  0.681493  0.692842  0.656085  0.697538  0.597597
  0.641930  0.649231  0.636642  0.615225  0.711416  0.650102  0.671763  0.672386  0.677322  0.652768  0.692190  0.597935
  0.634630  0.640056  0.638567  0.615976  0.702015  0.650835  0.663377  0.671072  0.680630  0.655505  0.688160  0.612563
  0.633534  0.642024  0.648383  0.610276  0.695494  0.642415  0.668435  0.672461  0.671978  0.653885  0.677556  0.621059
  0.644160  0.631492  0.641839  0.613841  0.695479  0.645518  0.678154  0.673939  0.665437  0.665158  0.682012  0.627093
  0.639233  0.627896  0.636157  0.619596  0.697901  0.653368  0.674600  0.676912  0.667066  0.670288  0.679185  0.632663
  0.640001  0.626773  0.637000  0.623150  0.694734  0.653450  0.678897  0.670454  0.668266  0.673538  0.672068  0.640814
  0.637203  0.624788  0.637752  0.618288  0.689934  0.647102  0.680467  0.667942  0.667165  0.675236  0.674833  0.640570
  0.643198  0.621379  0.639368  0.618110  0.685560  0.644622  0.688587  0.671121  0.660972  0.676614  0.674915  0.640136
  0.644844  0.620259  0.636703  0.622836  0.680967  0.643396  0.690001  0.672339  0.657905  0.678607  0.675350  0.637432
  0.647272  0.623706  0.637577  0.625614  0.677542  0.644208  0.693977  0.668152  0.660577  0.675722  0.681588  0.640569
  0.647485  0.625613  0.637430  0.623726  0.675857  0.646425  0.695879  0.668368  0.660265  0.673215  0.678136  0.643144
  0.650401  0.622726  0.636959  0.623189  0.674432  0.641467  0.696868  0.669089  0.661195  0.673943  0.678039  0.646450
  0.650080  0.618617  0.638867  0.625828  0.671742  0.641725  0.691638  0.665814  0.656850  0.677928  0.673867  0.648807
  0.650641  0.618221  0.639157  0.628750  0.670816  0.641563  0.696031  0.665198  0.656442  0.678753  0.668664  0.647506
  0.652536  0.621226  0.637978  0.627594  0.665404  0.646142  0.697018  0.663331  0.656055  0.676864  0.668425  0.651748
  0.652423  0.621837  0.638029  0.628065  0.662302  0.650811  0.696154  0.664068  0.654511  0.674032  0.667741  0.654854
  0.651850  0.623702  0.639756  0.631152  0.661664  0.655197  0.696902  0.662612  0.650032  0.673905  0.666146  0.656181
  0.649956  0.627689  0.640710  0.631704  0.663158  0.655293  0.698529  0.660112  0.649320  0.672894  0.664764  0.654753
  0.648021  0.629339  0.641174  0.633214  0.660981  0.653352  0.695595  0.659060  0.651530  0.671946  0.666256  0.653759
  0.646535  0.630773  0.643102  0.634809  0.659554  0.654164  0.694950  0.661093  0.649038  0.672460  0.666285  0.657711
  0.646562  0.633570  0.640116  0.637288  0.658353  0.655350  0.691869  0.660548  0.649097  0.670519  0.666071  0.655542
  0.645594  0.636755  0.638036  0.638326  0.659198  0.657178  0.690313  0.659803  0.649251  0.668143  0.665964  0.655924
  0.644550  0.640116  0.637374  0.639260  0.658064  0.659404  0.689534  0.659276  0.650320  0.665514  0.665194  0.655857
  0.647378  0.643442  0.637574  0.640797  0.657689  0.660060  0.688517  0.659278  0.649334  0.664656  0.664733  0.656964
  0.646640  0.646779  0.638770  0.641771  0.656148  0.659562  0.686902  0.658128  0.649109  0.663615  0.664555  0.657622
  0.646318  0.647738  0.640610  0.642337  0.658619  0.657585  0.686156  0.656078  0.650132  0.662812  0.663353  0.654621
  0.644734  0.647414  0.639486  0.642166  0.659100  0.659351  0.686461  0.655598  0.649598  0.661196  0.663058  0.653717
  0.644363  0.649370  0.641436  0.643305  0.659011  0.657810  0.685589  0.654943  0.649315  0.659485  0.663681  0.651789
